location,date,total_cases,total_deaths
New Zealand,2020-06-17,1507.0,22.0
New Zealand,2020-06-18,1507.0,22.0
New Zealand,2020-06-19,1509.0,22.0
New Zealand,2020-06-20,1511.0,22.0
New Zealand,2020-06-21,1513.0,22.0
New Zealand,2020-06-22,1515.0,22.0
New Zealand,2020-06-23,1516.0,22.0
New Zealand,2020-06-24,1519.0,22.0
New Zealand,2020-06-25,1520.0,22.0
New Zealand,2020-06-26,1522.0,22.0
New Zealand,2020-06-27,1526.0,22.0
New Zealand,2020-06-28,1528.0,22.0
New Zealand,2020-06-29,1528.0,22.0
New Zealand,2020-06-30,1528.0,22.0
New Zealand,2020-07-01,1530.0,22.0
New Zealand,2020-07-02,1530.0,22.0
New Zealand,2020-07-03,1530.0,22.0
New Zealand,2020-07-04,1533.0,22.0
New Zealand,2020-07-05,1534.0,22.0
New Zealand,2020-07-06,1536.0,22.0
New Zealand,2020-07-07,1537.0,22.0
New Zealand,2020-07-08,1540.0,22.0
New Zealand,2020-07-09,1542.0,22.0
New Zealand,2020-07-10,1543.0,22.0
New Zealand,2020-07-11,1544.0,22.0
New Zealand,2020-07-12,1544.0,22.0
New Zealand,2020-07-13,1545.0,22.0
New Zealand,2020-07-14,1547.0,22.0
New Zealand,2020-07-15,1548.0,22.0
New Zealand,2020-07-16,1549.0,22.0
New Zealand,2020-07-17,1550.0,22.0
New Zealand,2020-07-18,1553.0,22.0
New Zealand,2020-07-19,1554.0,22.0
New Zealand,2020-07-20,1555.0,22.0
New Zealand,2020-07-21,1555.0,22.0
New Zealand,2020-07-22,1555.0,22.0
New Zealand,2020-07-23,1556.0,22.0
New Zealand,2020-07-24,1556.0,22.0
New Zealand,2020-07-25,1556.0,22.0
New Zealand,2020-07-26,1556.0,22.0
New Zealand,2020-07-27,1557.0,22.0
New Zealand,2020-07-28,1559.0,22.0
New Zealand,2020-07-29,1560.0,22.0
New Zealand,2020-07-30,1560.0,22.0
New Zealand,2020-07-31,1562.0,22.0
New Zealand,2020-08-01,1565.0,22.0
New Zealand,2020-08-02,1567.0,22.0
New Zealand,2020-08-03,1567.0,22.0
New Zealand,2020-08-04,1569.0,22.0
New Zealand,2020-08-05,1569.0,22.0
New Zealand,2020-08-06,1569.0,22.0
New Zealand,2020-08-07,1569.0,22.0
New Zealand,2020-08-08,1569.0,22.0
New Zealand,2020-08-09,1569.0,22.0
New Zealand,2020-08-10,1570.0,22.0
New Zealand,2020-08-11,1570.0,22.0
New Zealand,2020-08-12,1589.0,22.0
New Zealand,2020-08-13,1602.0,22.0
New Zealand,2020-08-14,1609.0,22.0
New Zealand,2020-08-15,1622.0,22.0
New Zealand,2020-08-16,1631.0,22.0
New Zealand,2020-08-17,1643.0,22.0
New Zealand,2020-08-18,1649.0,22.0
New Zealand,2020-08-19,1654.0,22.0
New Zealand,2020-08-20,1665.0,22.0
New Zealand,2020-08-21,1671.0,22.0
New Zealand,2020-08-22,1674.0,22.0
New Zealand,2020-08-23,1683.0,22.0
New Zealand,2020-08-24,1690.0,22.0
New Zealand,2020-08-25,1695.0,22.0
New Zealand,2020-08-26,1702.0,22.0
New Zealand,2020-08-27,1714.0,22.0
New Zealand,2020-08-28,1727.0,22.0
New Zealand,2020-08-29,1729.0,22.0
New Zealand,2020-08-30,1738.0,22.0
New Zealand,2020-08-31,1752.0,22.0
New Zealand,2020-09-01,1757.0,22.0
New Zealand,2020-09-02,1759.0,22.0
New Zealand,2020-09-03,1764.0,22.0
New Zealand,2020-09-04,1767.0,24.0
New Zealand,2020-09-05,1772.0,24.0
New Zealand,2020-09-06,1776.0,24.0
New Zealand,2020-09-07,1782.0,24.0
New Zealand,2020-09-08,1788.0,24.0
New Zealand,2020-09-09,1792.0,24.0
New Zealand,2020-09-10,1793.0,24.0
New Zealand,2020-09-11,1795.0,24.0
New Zealand,2020-09-12,1797.0,24.0
New Zealand,2020-09-13,1798.0,24.0
New Zealand,2020-09-14,1801.0,24.0
New Zealand,2020-09-15,1802.0,25.0
New Zealand,2020-09-16,1809.0,25.0
New Zealand,2020-09-17,1809.0,25.0
New Zealand,2020-09-18,1811.0,25.0
New Zealand,2020-09-19,1815.0,25.0
New Zealand,2020-09-20,1815.0,25.0
New Zealand,2020-09-21,1815.0,25.0
New Zealand,2020-09-22,1824.0,25.0
New Zealand,2020-09-23,1827.0,25.0
New Zealand,2020-09-24,1829.0,25.0
New Zealand,2020-09-25,1831.0,25.0
New Zealand,2020-09-26,1833.0,25.0
New Zealand,2020-09-27,1833.0,25.0
New Zealand,2020-09-28,1835.0,25.0
New Zealand,2020-09-29,1836.0,25.0
New Zealand,2020-09-30,1848.0,25.0
New Zealand,2020-10-01,1848.0,25.0
New Zealand,2020-10-02,1849.0,25.0
New Zealand,2020-10-03,1854.0,25.0
New Zealand,2020-10-04,1855.0,25.0
New Zealand,2020-10-05,1858.0,25.0
New Zealand,2020-10-06,1861.0,25.0
New Zealand,2020-10-07,1864.0,25.0
New Zealand,2020-10-08,1866.0,25.0
New Zealand,2020-10-09,1870.0,25.0
New Zealand,2020-10-10,1871.0,25.0
New Zealand,2020-10-11,1871.0,25.0
New Zealand,2020-10-12,1872.0,25.0
New Zealand,2020-10-13,1874.0,25.0
New Zealand,2020-10-14,1876.0,25.0
New Zealand,2020-10-15,1880.0,25.0
New Zealand,2020-10-16,1883.0,25.0
New Zealand,2020-10-17,1886.0,25.0
New Zealand,2020-10-18,1886.0,25.0
New Zealand,2020-10-19,1887.0,25.0
New Zealand,2020-10-20,1912.0,25.0
New Zealand,2020-10-21,1914.0,25.0
New Zealand,2020-10-22,1923.0,25.0
New Zealand,2020-10-23,1934.0,25.0
New Zealand,2020-10-24,1935.0,25.0
New Zealand,2020-10-25,1940.0,25.0
New Zealand,2020-10-26,1941.0,25.0
New Zealand,2020-10-27,1943.0,25.0
New Zealand,2020-10-28,1949.0,25.0
New Zealand,2020-10-29,1950.0,25.0
New Zealand,2020-10-30,1957.0,25.0
New Zealand,2020-10-31,1959.0,25.0
New Zealand,2020-11-01,1963.0,25.0
New Zealand,2020-11-02,1968.0,25.0
New Zealand,2020-11-03,1971.0,25.0
New Zealand,2020-11-04,1973.0,25.0
New Zealand,2020-11-05,1974.0,25.0
New Zealand,2020-11-06,1976.0,25.0
New Zealand,2020-11-07,1982.0,25.0
New Zealand,2020-11-08,1986.0,25.0
New Zealand,2020-11-09,1987.0,25.0
New Zealand,2020-11-10,1988.0,25.0
New Zealand,2020-11-11,1991.0,25.0
New Zealand,2020-11-12,1995.0,25.0
New Zealand,2020-11-13,1998.0,25.0
New Zealand,2020-11-14,2001.0,25.0
New Zealand,2020-11-15,2001.0,25.0
New Zealand,2020-11-16,2005.0,25.0
New Zealand,2020-11-17,2008.0,25.0
New Zealand,2020-11-18,2010.0,25.0
New Zealand,2020-11-19,2013.0,25.0
New Zealand,2020-11-20,2019.0,25.0
New Zealand,2020-11-21,2028.0,25.0
New Zealand,2020-11-22,2030.0,25.0
New Zealand,2020-11-23,2031.0,25.0
New Zealand,2020-11-24,2039.0,25.0
New Zealand,2020-11-25,2040.0,25.0
New Zealand,2020-11-26,2047.0,25.0
New Zealand,2020-11-27,2050.0,25.0
New Zealand,2020-11-28,2050.0,25.0
New Zealand,2020-11-29,2056.0,25.0
New Zealand,2020-11-30,2059.0,25.0
New Zealand,2020-12-01,2060.0,25.0
New Zealand,2020-12-02,2069.0,25.0
New Zealand,2020-12-03,2069.0,25.0
New Zealand,2020-12-04,2078.0,25.0
New Zealand,2020-12-05,2078.0,25.0
New Zealand,2020-12-06,2079.0,25.0
New Zealand,2020-12-07,2085.0,25.0
New Zealand,2020-12-08,2088.0,25.0
New Zealand,2020-12-09,2088.0,25.0
New Zealand,2020-12-10,2092.0,25.0
New Zealand,2020-12-11,2092.0,25.0
New Zealand,2020-12-12,2096.0,25.0
New Zealand,2020-12-13,2096.0,25.0
New Zealand,2020-12-14,2096.0,25.0
New Zealand,2020-12-15,2100.0,25.0
New Zealand,2020-12-16,2100.0,25.0
New Zealand,2020-12-17,2110.0,25.0
New Zealand,2020-12-18,2110.0,25.0
New Zealand,2020-12-19,2116.0,25.0
New Zealand,2020-12-20,2121.0,25.0
New Zealand,2020-12-21,2121.0,25.0
New Zealand,2020-12-22,2128.0,25.0
New Zealand,2020-12-23,2128.0,25.0
New Zealand,2020-12-24,2128.0,25.0
New Zealand,2020-12-25,2128.0,25.0
New Zealand,2020-12-26,2144.0,25.0
New Zealand,2020-12-27,2144.0,25.0
New Zealand,2020-12-28,2151.0,25.0
New Zealand,2020-12-29,2151.0,25.0
New Zealand,2020-12-30,2162.0,25.0
New Zealand,2020-12-31,2162.0,25.0
New Zealand,2021-01-01,2162.0,25.0
New Zealand,2021-01-02,2181.0,25.0
New Zealand,2021-01-03,2181.0,25.0
New Zealand,2021-01-04,2186.0,25.0
New Zealand,2021-01-05,2186.0,25.0
New Zealand,2021-01-06,2188.0,25.0
New Zealand,2021-01-07,2188.0,25.0
New Zealand,2021-01-08,2188.0,25.0
New Zealand,2021-01-09,2219.0,25.0
New Zealand,2021-01-10,2222.0,25.0
New Zealand,2021-01-11,2222.0,25.0
New Zealand,2021-01-12,2228.0,25.0
New Zealand,2021-01-13,2228.0,25.0
New Zealand,2021-01-14,2246.0,25.0
New Zealand,2021-01-15,2246.0,25.0
New Zealand,2021-01-16,2256.0,25.0
New Zealand,2021-01-17,2262.0,25.0
New Zealand,2021-01-18,2262.0,25.0
New Zealand,2021-01-19,2267.0,25.0
New Zealand,2021-01-20,2267.0,25.0
New Zealand,2021-01-21,2276.0,25.0
New Zealand,2021-01-22,2276.0,25.0
New Zealand,2021-01-23,2283.0,25.0
New Zealand,2021-01-24,2288.0,25.0
New Zealand,2021-01-25,2290.0,25.0
New Zealand,2021-01-26,2295.0,25.0
New Zealand,2021-01-27,2299.0,25.0
New Zealand,2021-01-28,2305.0,25.0
New Zealand,2021-01-29,2303.0,25.0
New Zealand,2021-01-30,2304.0,25.0
New Zealand,2021-01-31,2304.0,25.0
New Zealand,2021-02-01,2307.0,25.0
New Zealand,2021-02-02,2308.0,25.0
New Zealand,2021-02-03,2313.0,25.0
New Zealand,2021-02-04,2315.0,25.0
New Zealand,2021-02-05,2315.0,25.0
New Zealand,2021-02-06,2320.0,25.0
New Zealand,2021-02-07,2320.0,25.0
New Zealand,2021-02-08,2322.0,25.0
New Zealand,2021-02-09,2324.0,25.0
New Zealand,2021-02-10,2324.0,25.0
New Zealand,2021-02-11,2326.0,25.0
New Zealand,2021-02-12,2328.0,25.0
New Zealand,2021-02-13,2330.0,25.0
New Zealand,2021-02-14,2336.0,25.0
New Zealand,2021-02-15,2337.0,26.0
New Zealand,2021-02-16,2340.0,26.0
New Zealand,2021-02-17,2344.0,26.0
New Zealand,2021-02-18,2348.0,26.0
New Zealand,2021-02-19,2350.0,26.0
New Zealand,2021-02-20,2350.0,26.0
New Zealand,2021-02-21,2357.0,26.0
New Zealand,2021-02-22,2363.0,26.0
New Zealand,2021-02-23,2365.0,26.0
New Zealand,2021-02-24,2368.0,26.0
New Zealand,2021-02-25,2371.0,26.0
New Zealand,2021-02-26,2372.0,26.0
New Zealand,2021-02-27,2376.0,26.0
New Zealand,2021-02-28,2378.0,26.0
New Zealand,2021-03-01,2382.0,26.0
New Zealand,2021-03-02,2384.0,26.0
New Zealand,2021-03-03,2389.0,26.0
New Zealand,2021-03-04,2389.0,26.0
New Zealand,2021-03-05,2398.0,26.0
New Zealand,2021-03-06,2399.0,26.0
New Zealand,2021-03-07,2405.0,26.0
New Zealand,2021-03-08,2409.0,26.0
New Zealand,2021-03-09,2410.0,26.0
New Zealand,2021-03-10,2416.0,26.0
New Zealand,2021-03-11,2417.0,26.0
New Zealand,2021-03-12,2422.0,26.0
New Zealand,2021-03-13,2423.0,26.0
New Zealand,2021-03-14,2430.0,26.0
New Zealand,2021-03-15,2432.0,26.0
New Zealand,2021-03-16,2434.0,26.0
New Zealand,2021-03-17,2434.0,26.0
New Zealand,2021-03-18,2444.0,26.0
New Zealand,2021-03-19,2444.0,26.0
New Zealand,2021-03-20,2453.0,26.0
New Zealand,2021-03-21,2462.0,26.0
New Zealand,2021-03-22,2462.0,26.0
New Zealand,2021-03-23,2470.0,26.0
New Zealand,2021-03-24,2476.0,26.0
New Zealand,2021-03-25,2479.0,26.0
New Zealand,2021-03-26,2481.0,26.0
New Zealand,2021-03-27,2482.0,26.0
New Zealand,2021-03-28,2493.0,26.0
New Zealand,2021-03-29,2495.0,26.0
New Zealand,2021-03-30,2497.0,26.0
New Zealand,2021-03-31,2501.0,26.0
New Zealand,2021-04-01,2501.0,26.0
New Zealand,2021-04-02,2501.0,26.0
New Zealand,2021-04-03,2501.0,26.0
New Zealand,2021-04-04,2507.0,26.0
New Zealand,2021-04-05,2524.0,26.0
New Zealand,2021-04-06,2531.0,26.0
New Zealand,2021-04-07,2555.0,26.0
New Zealand,2021-04-08,2561.0,26.0
New Zealand,2021-04-09,2571.0,26.0
New Zealand,2021-04-10,2574.0,26.0
New Zealand,2021-04-11,2583.0,26.0
New Zealand,2021-04-12,2587.0,26.0
New Zealand,2021-04-13,2589.0,26.0
New Zealand,2021-04-14,2591.0,26.0
New Zealand,2021-04-15,2591.0,26.0
New Zealand,2021-04-16,2591.0,26.0
New Zealand,2021-04-17,2595.0,26.0
United States,2020-01-22,1.0,0.0
United States,2020-01-23,1.0,0.0
United States,2020-01-24,2.0,0.0
United States,2020-01-25,2.0,0.0
United States,2020-01-26,5.0,0.0
United States,2020-01-27,5.0,0.0
United States,2020-01-28,5.0,0.0
United States,2020-01-29,6.0,0.0
United States,2020-01-30,6.0,0.0
United States,2020-01-31,8.0,0.0
United States,2020-02-01,8.0,0.0
United States,2020-02-02,8.0,0.0
United States,2020-02-03,11.0,0.0
United States,2020-02-04,11.0,0.0
United States,2020-02-05,11.0,0.0
United States,2020-02-06,12.0,0.0
United States,2020-02-07,12.0,0.0
United States,2020-02-08,12.0,0.0
United States,2020-02-09,12.0,0.0
United States,2020-02-10,12.0,0.0
United States,2020-02-11,13.0,0.0
United States,2020-02-12,13.0,0.0
United States,2020-02-13,14.0,0.0
United States,2020-02-14,14.0,0.0
United States,2020-02-15,14.0,0.0
United States,2020-02-16,14.0,0.0
United States,2020-02-17,14.0,0.0
United States,2020-02-18,14.0,0.0
United States,2020-02-19,14.0,0.0
United States,2020-02-20,14.0,0.0
United States,2020-02-21,16.0,0.0
United States,2020-02-22,16.0,0.0
United States,2020-02-23,16.0,0.0
United States,2020-02-24,16.0,0.0
United States,2020-02-25,16.0,0.0
United States,2020-02-26,16.0,0.0
United States,2020-02-27,17.0,0.0
United States,2020-02-28,17.0,0.0
United States,2020-02-29,25.0,1.0
United States,2020-03-01,32.0,1.0
United States,2020-03-02,55.0,6.0
United States,2020-03-03,74.0,7.0
United States,2020-03-04,107.0,11.0
United States,2020-03-05,184.0,12.0
United States,2020-03-06,237.0,14.0
United States,2020-03-07,403.0,17.0
United States,2020-03-08,519.0,21.0
United States,2020-03-09,594.0,22.0
United States,2020-03-10,782.0,28.0
United States,2020-03-11,1147.0,33.0
United States,2020-03-12,1586.0,43.0
United States,2020-03-13,2219.0,51.0
United States,2020-03-14,2978.0,58.0
United States,2020-03-15,3212.0,70.0
United States,2020-03-16,4679.0,97.0
United States,2020-03-17,6512.0,134.0
United States,2020-03-18,9169.0,194.0
United States,2020-03-19,13663.0,266.0
United States,2020-03-20,20030.0,372.0
United States,2020-03-21,26025.0,475.0
United States,2020-03-22,34898.0,596.0
United States,2020-03-23,46136.0,788.0
United States,2020-03-24,56755.0,1031.0
United States,2020-03-25,68837.0,1364.0
United States,2020-03-26,86693.0,1783.0
United States,2020-03-27,105383.0,2305.0
United States,2020-03-28,125013.0,2947.0
United States,2020-03-29,143912.0,3571.0
United States,2020-03-30,165987.0,4284.0
United States,2020-03-31,192301.0,5369.0
United States,2020-04-01,224560.0,6653.0
United States,2020-04-02,256792.0,8165.0
United States,2020-04-03,289087.0,9595.0
United States,2020-04-04,321477.0,11160.0
United States,2020-04-05,351354.0,12773.0
United States,2020-04-06,382747.0,14544.0
United States,2020-04-07,413516.0,17122.0
United States,2020-04-08,444731.0,19277.0
United States,2020-04-09,480667.0,21480.0
United States,2020-04-10,515081.0,23673.0
United States,2020-04-11,544183.0,25801.0
United States,2020-04-12,571440.0,27674.0
United States,2020-04-13,598380.0,29687.0
United States,2020-04-14,627205.0,32121.0
United States,2020-04-15,652611.0,34726.0
United States,2020-04-16,682626.0,36869.0
United States,2020-04-17,715656.0,38978.0
United States,2020-04-18,743588.0,40958.0
United States,2020-04-19,769684.0,42928.0
United States,2020-04-20,799512.0,45160.0
United States,2020-04-21,825429.0,47676.0
United States,2020-04-22,854288.0,50128.0
United States,2020-04-23,887858.0,52591.0
United States,2020-04-24,920185.0,54777.0
United States,2020-04-25,950581.0,56487.0
United States,2020-04-26,977082.0,57886.0
United States,2020-04-27,1000785.0,59394.0
United States,2020-04-28,1025362.0,61621.0
United States,2020-04-29,1051800.0,64036.0
United States,2020-04-30,1081020.0,66233.0
United States,2020-05-01,1115946.0,68138.0
United States,2020-05-02,1143296.0,69870.0
United States,2020-05-03,1167593.0,71059.0
United States,2020-05-04,1191678.0,72438.0
United States,2020-05-05,1216209.0,74684.0
United States,2020-05-06,1240769.0,76996.0
United States,2020-05-07,1268180.0,78923.0
United States,2020-05-08,1295019.0,80684.0
United States,2020-05-09,1320155.0,82151.0
United States,2020-05-10,1339022.0,83127.0
United States,2020-05-11,1358293.0,84170.0
United States,2020-05-12,1381241.0,85770.0
United States,2020-05-13,1401649.0,87508.0
United States,2020-05-14,1428467.0,89296.0
United States,2020-05-15,1453214.0,90966.0
United States,2020-05-16,1477373.0,92165.0
United States,2020-05-17,1495736.0,92983.0
United States,2020-05-18,1518126.0,94210.0
United States,2020-05-19,1539133.0,95667.0
United States,2020-05-20,1561830.0,97167.0
United States,2020-05-21,1587596.0,98355.0
United States,2020-05-22,1611253.0,99575.0
United States,2020-05-23,1632364.0,100661.0
United States,2020-05-24,1652431.0,101298.0
United States,2020-05-25,1671104.0,101890.0
United States,2020-05-26,1690754.0,102567.0
United States,2020-05-27,1709303.0,104029.0
United States,2020-05-28,1731625.0,105136.0
United States,2020-05-29,1756098.0,106270.0
United States,2020-05-30,1779731.0,107224.0
United States,2020-05-31,1798718.0,107837.0
United States,2020-06-01,1816154.0,108613.0
United States,2020-06-02,1837656.0,109594.0
United States,2020-06-03,1857511.0,110605.0
United States,2020-06-04,1879150.0,111617.0
United States,2020-06-05,1904550.0,112512.0
United States,2020-06-06,1925710.0,113156.0
United States,2020-06-07,1943626.0,113613.0
United States,2020-06-08,1961263.0,114120.0
United States,2020-06-09,1979647.0,115033.0
United States,2020-06-10,2000757.0,115907.0
United States,2020-06-11,2023890.0,116737.0
United States,2020-06-12,2048756.0,117566.0
United States,2020-06-13,2073964.0,118299.0
United States,2020-06-14,2092912.0,118642.0
United States,2020-06-15,2112731.0,119037.0
United States,2020-06-16,2136401.0,119851.0
United States,2020-06-17,2163465.0,120590.0
United States,2020-06-18,2191991.0,121280.0
United States,2020-06-19,2223553.0,121908.0
United States,2020-06-20,2255823.0,122470.0
United States,2020-06-21,2280971.0,122784.0
United States,2020-06-22,2313123.0,123192.0
United States,2020-06-23,2350198.0,123940.0
United States,2020-06-24,2386074.0,124688.0
United States,2020-06-25,2426391.0,125218.0
United States,2020-06-26,2472385.0,125844.0
United States,2020-06-27,2513731.0,126346.0
United States,2020-06-28,2554461.0,126665.0
United States,2020-06-29,2595744.0,127048.0
United States,2020-06-30,2642174.0,127605.0
United States,2020-07-01,2693993.0,128310.0
United States,2020-07-02,2750622.0,129026.0
United States,2020-07-03,2801983.0,129693.0
United States,2020-07-04,2847664.0,129999.0
United States,2020-07-05,2898432.0,130324.0
United States,2020-07-06,2941517.0,130700.0
United States,2020-07-07,3002171.0,131863.0
United States,2020-07-08,3062290.0,132704.0
United States,2020-07-09,3124786.0,133716.0
United States,2020-07-10,3192841.0,134522.0
United States,2020-07-11,3252874.0,135249.0
United States,2020-07-12,3311312.0,135721.0
United States,2020-07-13,3370208.0,136165.0
United States,2020-07-14,3438244.0,137094.0
United States,2020-07-15,3506364.0,138067.0
United States,2020-07-16,3582184.0,139022.0
United States,2020-07-17,3654445.0,139947.0
United States,2020-07-18,3716980.0,140816.0
United States,2020-07-19,3777456.0,141282.0
United States,2020-07-20,3839546.0,141845.0
United States,2020-07-21,3904066.0,142939.0
United States,2020-07-22,3974630.0,144162.0
United States,2020-07-23,4043070.0,145248.0
United States,2020-07-24,4116393.0,146348.0
United States,2020-07-25,4181308.0,147261.0
United States,2020-07-26,4236083.0,147795.0
United States,2020-07-27,4292934.0,148915.0
United States,2020-07-28,4359391.0,150256.0
United States,2020-07-29,4431244.0,151683.0
United States,2020-07-30,4498701.0,152909.0
United States,2020-07-31,4567420.0,154126.0
United States,2020-08-01,4623604.0,155220.0
United States,2020-08-02,4669149.0,155651.0
United States,2020-08-03,4714678.0,156230.0
United States,2020-08-04,4773479.0,157570.0
United States,2020-08-05,4827936.0,158967.0
United States,2020-08-06,4887293.0,160205.0
United States,2020-08-07,4946590.0,161437.0
United States,2020-08-08,5000709.0,162512.0
United States,2020-08-09,5046463.0,163072.0
United States,2020-08-10,5094087.0,163660.0
United States,2020-08-11,5142088.0,164680.0
United States,2020-08-12,5198137.0,166183.0
United States,2020-08-13,5249451.0,167245.0
United States,2020-08-14,5314791.0,168585.0
United States,2020-08-15,5361712.0,169589.0
United States,2020-08-16,5400904.0,170198.0
United States,2020-08-17,5437580.0,170689.0
United States,2020-08-18,5482614.0,171962.0
United States,2020-08-19,5529973.0,173262.0
United States,2020-08-20,5574013.0,174356.0
United States,2020-08-21,5622842.0,175447.0
United States,2020-08-22,5665887.0,176415.0
United States,2020-08-23,5700119.0,176909.0
United States,2020-08-24,5736641.0,177383.0
United States,2020-08-25,5777001.0,178621.0
United States,2020-08-26,5822167.0,179794.0
United States,2020-08-27,5867547.0,180898.0
United States,2020-08-28,5914395.0,181868.0
United States,2020-08-29,5957126.0,182766.0
United States,2020-08-30,5991507.0,183218.0
United States,2020-08-31,6026895.0,183760.0
United States,2020-09-01,6068759.0,184810.0
United States,2020-09-02,6109773.0,185865.0
United States,2020-09-03,6153983.0,186895.0
United States,2020-09-04,6204376.0,187847.0
United States,2020-09-05,6247464.0,188629.0
United States,2020-09-06,6278633.0,189073.0
United States,2020-09-07,6302200.0,189370.0
United States,2020-09-08,6329593.0,189825.0
United States,2020-09-09,6363650.0,190976.0
United States,2020-09-10,6399723.0,191887.0
United States,2020-09-11,6447501.0,193064.0
United States,2020-09-12,6488563.0,193776.0
United States,2020-09-13,6522914.0,194204.0
United States,2020-09-14,6557342.0,194636.0
United States,2020-09-15,6596849.0,195839.0
United States,2020-09-16,6635867.0,196789.0
United States,2020-09-17,6681004.0,197648.0
United States,2020-09-18,6730288.0,198566.0
United States,2020-09-19,6772447.0,199282.0
